Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.00035,0.00011,0.00011,0.0001,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,0.0001,0.0001,0.00011,0.00012,0.00014
1,0.00023,0.00011,0.0001,0.0001,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014
2,0.00011,0.0001,0.0001,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016
3,0.0001,0.0001,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017
4,0.0001,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00019
5,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00019,0.00021
6,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00019,0.0002,0.00022
7,9.00E-05,9.00E-05,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00019,0.0002,0.00022,0.00024
8,9.00E-05,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00019,0.0002,0.00022,0.00023,0.00025
9,9.00E-05,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00019,0.0002,0.00021,0.00023,0.00025,0.00026
10,9.00E-05,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00018,0.0002,0.00021,0.00023,0.00024,0.00026,0.00028
11,0.0001,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00018,0.0002,0.00021,0.00022,0.00024,0.00025,0.00027,0.00029
12,0.00011,0.00012,0.00013,0.00014,0.00016,0.00017,0.00018,0.00019,0.00021,0.00022,0.00023,0.00025,0.00026,0.00028,0.0003
13,0.00012,0.00013,0.00014,0.00016,0.00017,0.00018,0.00019,0.0002,0.00022,0.00023,0.00024,0.00026,0.00028,0.00029,0.00032
14,0.00013,0.00014,0.00016,0.00017,0.00018,0.00019,0.0002,0.00021,0.00022,0.00024,0.00025,0.00027,0.00029,0.00031,0.00033
15,0.00014,0.00016,0.00017,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023,0.00024,0.00026,0.00028,0.0003,0.00032,0.00034
16,0.00016,0.00017,0.00018,0.00019,0.0002,0.0002,0.00021,0.00022,0.00024,0.00025,0.00027,0.00029,0.00031,0.00033,0.00036
17,0.00017,0.00018,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023,0.00024,0.00026,0.00028,0.0003,0.00032,0.00035,0.00037
18,0.00017,0.00018,0.00019,0.0002,0.0002,0.00021,0.00022,0.00023,0.00025,0.00027,0.00029,0.00031,0.00033,0.00036,0.00039
19,0.00018,0.00018,0.00019,0.0002,0.0002,0.00021,0.00023,0.00024,0.00026,0.00028,0.0003,0.00032,0.00035,0.00038,0.00041
20,0.00018,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023,0.00025,0.00026,0.00028,0.00031,0.00033,0.00036,0.00039,0.00043
21,0.00018,0.00018,0.00019,0.0002,0.00021,0.00022,0.00023,0.00025,0.00027,0.00029,0.00032,0.00035,0.00038,0.00041,0.00045
22,0.00017,0.00018,0.00019,0.0002,0.00021,0.00022,0.00024,0.00026,0.00028,0.00031,0.00033,0.00036,0.0004,0.00044,0.00048
23,0.00017,0.00018,0.00018,0.0002,0.00021,0.00023,0.00025,0.00027,0.00029,0.00032,0.00035,0.00038,0.00042,0.00046,0.00051
24,0.00016,0.00017,0.00018,0.0002,0.00021,0.00023,0.00025,0.00028,0.0003,0.00033,0.00037,0.0004,0.00045,0.00049,0.00055
25,0.00015,0.00017,0.00018,0.0002,0.00022,0.00024,0.00026,0.00029,0.00032,0.00035,0.00039,0.00043,0.00047,0.00053,0.00059
26,0.00014,0.00016,0.00018,0.0002,0.00022,0.00024,0.00027,0.0003,0.00033,0.00037,0.00041,0.00046,0.00051,0.00057,0.00063
27,0.00014,0.00016,0.00018,0.0002,0.00023,0.00025,0.00028,0.00031,0.00035,0.00039,0.00044,0.00049,0.00054,0.00061,0.00068
28,0.00014,0.00016,0.00019,0.00021,0.00024,0.00026,0.0003,0.00033,0.00037,0.00041,0.00046,0.00052,0.00059,0.00066,0.00074
29,0.00013,0.00016,0.00019,0.00022,0.00024,0.00028,0.00031,0.00035,0.00039,0.00044,0.0005,0.00056,0.00063,0.00071,0.00081
30,0.00013,0.00017,0.0002,0.00022,0.00026,0.00029,0.00033,0.00037,0.00042,0.00047,0.00054,0.00061,0.00069,0.00078,0.00088
31,0.00013,0.00017,0.0002,0.00023,0.00027,0.00031,0.00035,0.0004,0.00045,0.00051,0.00058,0.00066,0.00075,0.00085,0.00097
32,0.00013,0.00018,0.00021,0.00025,0.00028,0.00033,0.00037,0.00042,0.00048,0.00055,0.00063,0.00071,0.00081,0.00093,0.00107
33,0.00014,0.00018,0.00022,0.00026,0.0003,0.00035,0.0004,0.00046,0.00052,0.0006,0.00068,0.00078,0.00089,0.00103,0.00119
34,0.00014,0.00019,0.00023,0.00027,0.00032,0.00037,0.00043,0.00049,0.00057,0.00065,0.00074,0.00086,0.00099,0.00114,0.00132
35,0.00015,0.0002,0.00024,0.00029,0.00034,0.0004,0.00046,0.00053,0.00061,0.00071,0.00082,0.00095,0.0011,0.00127,0.00148
36,0.00015,0.00021,0.00026,0.00031,0.00037,0.00043,0.0005,0.00058,0.00067,0.00078,0.0009,0.00105,0.00122,0.00142,0.00165
37,0.00016,0.00022,0.00028,0.00033,0.0004,0.00047,0.00054,0.00063,0.00074,0.00086,0.001,0.00117,0.00136,0.00159,0.00186
38,0.00017,0.00024,0.0003,0.00036,0.00043,0.00051,0.00059,0.00069,0.00081,0.00095,0.00111,0.0013,0.00153,0.00178,0.00209
39,0.00018,0.00026,0.00032,0.00039,0.00047,0.00055,0.00065,0.00077,0.0009,0.00106,0.00124,0.00146,0.00171,0.00201,0.00235
