animalid,SourceBirthDate,Date of death,venomsex,neutered,VetCompass_Dog_Breed_Term_1,MidLevelTerm_Plain_English,Method of death
12010467,26/01/2016,26/01/2016 00:00,Male,Entire,American Pit Bull Terrier,Behaviour disorder,Euthanasia
3534394,2/2/2016,2/2/2016 0:00,Female,Entire,Boston Terrier,Disorder not diagnsosed,Euthanasia
11836307,9/3/2016,9/3/2016 0:00,Female,Entire,Bulldog,Behaviour disorder,Euthanasia
11922617,19/02/2016,19/02/2016 00:00,Male,Entire,Bulldog,Behaviour disorder,Euthanasia
7136056,17/12/2016,17/12/2016 00:00,Male,Entire,Cavalier King Charles Spaniel,Appetite disoder,Euthanasia
12090746,3/1/2016,3/1/2016 0:00,Male,Entire,Chinese Shar-Pei,Disorder not diagnsosed,Euthanasia
12092145,1/3/2016,1/3/2016 0:00,Female,Neutered,Crossbreed,Collapsed,Euthanasia
12140774,16/01/2016,16/01/2016 00:00,Male,Entire,Crossbreed,Behaviour disorder,Euthanasia
11739930,4/12/2015,4/12/2015 0:00,Female,Entire,German Shepherd Dog,Disorder not diagnsosed,Euthanasia
11846510,7/11/2016,7/11/2016 0:00,,,Greyhound,Traumatic injury,Euthanasia
12066156,10/1/2016,10/1/2016 0:00,,,Pug,Disorder not diagnsosed,Unrecorded
12141137,12/2/2016,12/2/2016 0:00,Male,Entire,Rottweiler,Behaviour disorder,Euthanasia
12176481,27/12/2015,27/12/2015 00:00,Male,Entire,Staffordshire Bull Terrier,Behaviour disorder,Euthanasia
3558322,4/3/2016,4/3/2016 0:00,Female,Entire,Yorkshire Terrier,Congenital disorder,Euthanasia
12224890,12/5/2016,12/5/2016 23:00,Female,Entire,Chow Chow,Traumatic injury,Unassisted
11747716,21/05/2016,21/05/2016 23:00,Male,Neutered,Crossbreed,Liver disorder,Euthanasia
12041067,15/09/2016,15/09/2016 23:00,Male,Neutered,Shih-tzu,Haematopoietic disorder,Euthanasia
3514551,10/1/2016,11/1/2016 0:00,Female,Entire,Cocker Spaniel,Disorder not diagnsosed,Euthanasia
11942646,27/01/2016,28/01/2016 00:00,Male,Entire,Short-Haired Chihuahua,Oral cavity disorder,Unassisted
12479664,10/9/2016,11/9/2016 23:00,Male,Entire,Chihuahua,Disorder not diagnsosed,Euthanasia
6845096,31/07/2016,1/8/2016 23:00,Male,Entire,Cocker Spaniel,Traumatic injury,Euthanasia
3874928,23/04/2016,24/04/2016 23:00,,,Crossbreed,Disorder not diagnsosed,Euthanasia
12178351,26/06/2016,27/06/2016 23:00,,,Staffordshire Bull Terrier,Skin disorder,Euthanasia
1622481,24/01/2016,26/01/2016 00:00,Male,Entire,Border Collie,Sepsis,Euthanasia
1649923,18/02/2016,20/02/2016 00:00,,,French Bulldog,Oral cavity disorder,Euthanasia
7120377,4/12/2016,6/12/2016 0:00,Male,Entire,Yorkshire Terrier,Oral cavity disorder,Euthanasia
12487024,2/10/2016,4/10/2016 23:00,Male,Entire,Pug,Upper respiratory tract disorder,Euthanasia
12037929,2/7/2016,4/7/2016 23:00,Male,Entire,English Springer Spaniel,Lower respiratory tract disorder,Euthanasia
6908091,30/08/2016,1/9/2016 23:00,Male,Entire,British Bulldog,Complication associated with clinical care,Euthanasia
6860426,5/8/2016,7/8/2016 23:00,Female,Entire,German Shepherd Dog,Traumatic injury,Unassisted
3913392,30/04/2016,2/5/2016 23:00,Female,Entire,Pug,Oral cavity disorder,Euthanasia
6963035,8/4/2016,10/4/2016 23:00,Female,Entire,Samoyed,Disorder not diagnsosed,Euthanasia
12097920,27/09/2016,29/09/2016 23:00,Male,Entire,Shih-tzu,Poor quality of life,Euthanasia
12179889,25/11/2016,28/11/2016 00:00,Female,Entire,Crossbreed,Disorder not diagnsosed,Unrecorded
3976796,11/6/2016,14/06/2016 23:00,Male,Entire,Crossbreed,Oral cavity disorder,Euthanasia
1601815,3/1/2016,7/1/2016 0:00,Female,Entire,Chihuahua,Oral cavity disorder,Euthanasia
11699132,9/3/2016,14/03/2016 00:00,Male,Entire,Norfolk Terrier,Oral cavity disorder,Euthanasia
7861736,18/11/2016,23/11/2016 00:00,Male,Entire,Yorkshire Terrier,Traumatic injury,Euthanasia
7046321,15/10/2016,20/10/2016 23:00,Female,Entire,Dorset Olde Tyme Bulldogge,Oral cavity disorder,Euthanasia
11713353,21/09/2016,26/09/2016 23:00,Female,Entire,Shih-tzu,Viral infectious disorder,Euthanasia
12097568,7/9/2016,12/9/2016 23:00,Male,Entire,Yorkshire Terrier,Lower respiratory tract disorder,Euthanasia
12226030,18/08/2016,24/08/2016 23:00,Male,Entire,Bichon Frise,Disorder not diagnsosed,Euthanasia
11838477,29/04/2016,5/5/2016 23:00,Male,Entire,Dogue de Bordeaux,Lower respiratory tract disorder,Euthanasia
3964419,4/6/2016,10/6/2016 23:00,Female,Entire,Rottweiler,Lower respiratory tract disorder,Unassisted
7864357,28/11/2016,5/12/2016 0:00,Female,Entire,Lhasa Apso,Collapsed,Euthanasia
3882474,20/04/2016,27/04/2016 23:00,Female,Entire,French Bulldog,Lower respiratory tract disorder,Unassisted
12017795,20/06/2016,27/06/2016 23:00,Female,Entire,Yorkshire Terrier,Disorder not diagnsosed,Euthanasia
7021146,1/10/2016,10/10/2016 23:00,Male,Entire,Labrador Retriever,Oral cavity disorder,Euthanasia
11741707,28/01/2016,7/2/2016 0:00,Female,Entire,Cocker Spaniel,Lower respiratory tract disorder,Euthanasia
3701205,7/3/2016,18/03/2016 00:00,Female,Entire,Pug,Oral cavity disorder,Euthanasia
7012755,25/09/2016,6/10/2016 23:00,Male,Entire,Papillon,Enteropathy,Euthanasia
6873583,2/8/2016,14/08/2016 23:00,Female,Entire,Boxer,Oral cavity disorder,Euthanasia
7051730,13/10/2016,25/10/2016 23:00,Female,Entire,Cocker Spaniel,Thin,Euthanasia
12478737,30/04/2016,13/05/2016 23:00,Male,Entire,Shih-tzu,Lower respiratory tract disorder,Euthanasia
6907087,18/08/2016,31/08/2016 23:00,Female,Entire,Rottweiler,Brain disorder,Euthanasia
7401940,7/5/2016,21/05/2016 22:00,Female,Entire,Boxer,Disorder not diagnsosed,Unassisted
12487115,23/11/2016,9/12/2016 0:00,Male,Entire,Staffordshire Bull Terrier,Traumatic injury,Euthanasia
7866497,6/12/2016,23/12/2016 00:00,Female,Entire,Chinese Shar-Pei,Lower respiratory tract disorder,Euthanasia
11949010,27/06/2016,15/07/2016 23:00,Female,Entire,French Bulldog,Collapsed,Euthanasia
3959687,21/05/2016,9/6/2016 23:00,Female,Entire,French Bulldog,Lower respiratory tract disorder,Euthanasia
12120427,16/02/2016,7/3/2016 0:00,Male,Entire,Chinese Shar-Pei,Collapsed,Unassisted
3547807,30/01/2016,19/02/2016 00:00,Male,Entire,Lhasa Apso,Lower respiratory tract disorder,Euthanasia
6887910,30/07/2016,19/08/2016 23:00,Female,Entire,Crossbreed,Lower respiratory tract disorder,Euthanasia
6885061,29/07/2016,19/08/2016 23:00,Female,Entire,Cockapoo,Heart disease,Euthanasia
3849312,23/03/2016,14/04/2016 23:00,Female,Entire,Crossbreed,Collapsed,Euthanasia
7379486,10/4/2015,6/5/2015 23:00,Male,Entire,Rottweiler,Collapsed,Euthanasia
3870932,25/03/2016,21/04/2016 23:00,Male,Entire,Crossbreed,Hernia,Euthanasia
3795311,22/02/2016,21/03/2016 00:00,Female,Entire,British Bulldog,Upper respiratory tract disorder,Euthanasia
3947705,4/5/2016,1/6/2016 23:00,Male,Entire,Chihuahua,Enteropathy,Euthanasia
3561544,8/2/2016,8/3/2016 0:00,Male,Entire,Staffordshire Bull Terrier,Appetite disoder,Euthanasia
7050064,24/09/2016,23/10/2016 23:00,,,Bulldog,Heart disease,Euthanasia
7060386,26/09/2016,25/10/2016 23:00,Female,Entire,French Bulldog,Enteropathy,Euthanasia
6763023,14/06/2016,13/07/2016 23:00,Male,Entire,Jack Russell Terrier,Collapsed,Euthanasia
6709608,28/05/2016,27/06/2016 23:00,Male,Entire,French Bulldog,Disorder not diagnsosed,Unrecorded
7850916,12/10/2016,11/11/2016 23:00,Male,Entire,Pug,Lower respiratory tract disorder,Unassisted
7076769,30/09/2016,31/10/2016 00:00,Female,Entire,Border Terrier,Heart disease,Unassisted
1601811,6/12/2015,6/1/2016 0:00,Male,Entire,Chihuahua,Liver disorder,Euthanasia
12056983,27/04/2014,28/05/2014 23:00,Female,Entire,Jug,Brain disorder,Euthanasia
6908793,1/8/2016,2/9/2016 23:00,Female,Entire,Jack Russell Terrier,Dehydration,Euthanasia
3536349,27/12/2015,7/2/2016 0:00,Female,Entire,Yorkshire Terrier,Oral cavity disorder,Unassisted
7083881,25/09/2016,9/11/2016 0:00,Male,Entire,Border Collie,Disorder not diagnsosed,Euthanasia
7428958,14/12/2015,28/01/2016 00:00,Female,Entire,Toy Poodle,Enteropathy,Euthanasia
7012432,20/08/2016,5/10/2016 23:00,Female,Entire,Labradoodle,Musculoskeletal disorder,Euthanasia
7401599,8/2/2016,26/03/2016 00:00,Female,Entire,Crossbreed,Brain disorder,Euthanasia
7047436,4/9/2016,21/10/2016 23:00,Female,Entire,Beagle,Disorder not diagnsosed,Euthanasia
6720172,17/05/2016,3/7/2016 23:00,Female,Entire,French Bulldog,Ophthalmological disorder,Euthanasia
7382394,14/08/2016,1/10/2016 23:00,Male,Entire,Crossbreed,Enteropathy,Euthanasia
7059372,6/9/2016,24/10/2016 23:00,Female,Entire,Jack Russell Terrier,Disorder not diagnsosed,Euthanasia
3403520,16/07/2015,3/9/2015 23:00,Male,Entire,Staffordshire Bull Terrier,Congenital disorder,Euthanasia
3521158,4/12/2015,23/01/2016 00:00,Male,Entire,Shih-tzu,Enteropathy,Unassisted
6890222,25/07/2016,13/09/2016 23:00,Male,Entire,Crossbreed,Hernia,Euthanasia
11843686,21/08/2016,10/10/2016 23:00,Male,Entire,Shih-Poo,Enteropathy,Euthanasia
3888184,25/03/2016,15/05/2016 23:00,Female,Entire,Pomeranian,Enteropathy,Euthanasia
12139914,22/11/2015,13/01/2016 00:00,Female,Entire,Parson Russell Terrier,Brain disorder,Euthanasia
7847745,2/10/2016,24/11/2016 00:00,Male,Entire,Lurcher,Haematopoietic disorder,Unassisted
3536042,30/01/2016,24/03/2016 00:00,Male,Entire,German Shepherd Dog,Brain disorder,Euthanasia
7853396,20/10/2016,13/12/2016 00:00,Male,Entire,Chihuahua,Disorder not diagnsosed,Euthanasia
3544923,25/12/2015,17/02/2016 00:00,Female,Entire,Crossbreed,Behaviour disorder,Euthanasia
3550997,29/12/2015,23/02/2016 00:00,Male,Entire,German Shepherd Dog,Enteropathy,Euthanasia
3555461,11/1/2016,7/3/2016 0:00,Male,Entire,Cavalier King Charles Spaniel,Disorder not diagnsosed,Unassisted
6937918,28/07/2016,22/09/2016 23:00,Female,Entire,Jack Russell Terrier,Musculoskeletal disorder,Euthanasia
7845549,25/09/2016,21/11/2016 00:00,,,French Bulldog,Liver disorder,Euthanasia
7077806,4/9/2016,1/11/2016 0:00,Male,Entire,Short-Haired Chihuahua,Enteropathy,Euthanasia
3493236,18/10/2015,15/12/2015 00:00,Female,Neutered,Labrador Retriever,Disorder not diagnsosed,Unassisted
3567729,1/2/2016,30/03/2016 23:00,Male,Entire,Crossbreed,Liver disorder,Euthanasia
3573960,18/01/2016,17/03/2016 00:00,Male,Entire,Jack Russell Terrier,Enteropathy,Euthanasia
11835169,30/01/2016,29/03/2016 23:00,Female,Entire,Jack Russell Terrier,Parasite infestation,Euthanasia
7086694,13/09/2016,12/11/2016 0:00,Male,Entire,Short-Haired Chihuahua,Enteropathy,Unassisted
3537662,10/12/2015,8/2/2016 0:00,Male,Entire,Crossbreed,Enteropathy,Euthanasia
12401649,22/10/2016,22/12/2016 00:00,Female,Entire,Shih-tzu,Shock,Euthanasia
6898022,17/07/2016,15/09/2016 23:00,Male,Entire,Chihuahua,Enteropathy,Euthanasia
3885975,14/03/2016,13/05/2016 23:00,Male,Entire,British Bulldog,Collapsed,Unassisted
6837765,29/05/2016,28/07/2016 23:00,Male,Entire,Chihuahua,Traumatic injury,Euthanasia
7136905,18/10/2016,17/12/2016 23:00,Female,Entire,Crossbreed,Lower respiratory tract disorder,Euthanasia
6726085,5/5/2016,4/7/2016 23:00,Female,Entire,Crossbreed,Disorder not diagnsosed,Euthanasia
1612852,17/11/2015,16/01/2016 23:00,Male,Entire,Crossbreed,Enteropathy,Euthanasia
3932852,22/03/2016,21/05/2016 23:00,Male,Entire,Jack Russell Terrier,Enteropathy,Euthanasia
11925412,1/5/2016,30/06/2016 23:00,Male,Entire,Miniature Smooth-Haired Dachshund,Musculoskeletal disorder,Euthanasia
7059083,14/06/2016,13/08/2016 23:00,Male,Entire,Miniature Yorkshire Terrier,Disorder not diagnsosed,Euthanasia
6902699,30/06/2016,29/08/2016 23:00,Female,Entire,Pomeranian,Enteropathy,Euthanasia
6894001,24/06/2016,23/08/2016 23:00,Female,Entire,Yorkshire Terrier,Congenital disorder,Euthanasia
