"","animalid","Sex","Neutered","Breed","CauseDeath","Method.of.death","dateBirth","dateDeath"
"2",3534394,"Female","Entire","Boston Terrier","Disorder not diagnsosed","Euthanasia",2016-02-02,2016-02-02
"3",11836307,"Female","Entire","Bulldog","Behaviour disorder","Euthanasia",2016-09-03,2016-09-03
"6",12090746,"Male","Entire","Chinese Shar-Pei","Disorder not diagnsosed","Euthanasia",2016-03-01,2016-03-01
"7",12092145,"Female","Neutered","Crossbreed","Collapsed","Euthanasia",2016-01-03,2016-01-03
"9",11739930,"Female","Entire","German Shepherd Dog","Disorder not diagnsosed","Euthanasia",2015-04-12,2015-04-12
"12",12141137,"Male","Entire","Rottweiler","Behaviour disorder","Euthanasia",2016-12-02,2016-12-02
"14",3558322,"Female","Entire","Yorkshire Terrier","Congenital disorder","Euthanasia",2016-04-03,2016-04-03
"15",12224890,"Female","Entire","Chow Chow","Traumatic injury","Unassisted",2016-12-05,2016-12-05
"18",3514551,"Female","Entire","Cocker Spaniel","Disorder not diagnsosed","Euthanasia",2016-10-01,2016-11-01
"20",12479664,"Male","Entire","Chihuahua","Disorder not diagnsosed","Euthanasia",2016-10-09,2016-11-09
"26",7120377,"Male","Entire","Yorkshire Terrier","Oral cavity disorder","Euthanasia",2016-04-12,2016-06-12
"27",12487024,"Male","Entire","Pug","Upper respiratory tract disorder","Euthanasia",2016-02-10,2016-04-10
"28",12037929,"Male","Entire","English Springer Spaniel","Lower respiratory tract disorder","Euthanasia",2016-02-07,2016-04-07
"30",6860426,"Female","Entire","German Shepherd Dog","Traumatic injury","Unassisted",2016-05-08,2016-07-08
"32",6963035,"Female","Entire","Samoyed","Disorder not diagnsosed","Euthanasia",2016-08-04,2016-10-04
"36",1601815,"Female","Entire","Chihuahua","Oral cavity disorder","Euthanasia",2016-03-01,2016-07-01
"41",12097568,"Male","Entire","Yorkshire Terrier","Lower respiratory tract disorder","Euthanasia",2016-07-09,2016-12-09
"44",3964419,"Female","Entire","Rottweiler","Lower respiratory tract disorder","Unassisted",2016-04-06,2016-10-06
"48",7021146,"Male","Entire","Labrador Retriever","Oral cavity disorder","Euthanasia",2016-01-10,2016-10-10
"70",3561544,"Male","Entire","Staffordshire Bull Terrier","Appetite disoder","Euthanasia",2016-08-02,2016-08-03
"77",1601811,"Male","Entire","Chihuahua","Liver disorder","Euthanasia",2015-06-12,2016-06-01
"79",6908793,"Female","Entire","Jack Russell Terrier","Dehydration","Euthanasia",2016-01-08,2016-02-09
"109",3537662,"Male","Entire","Crossbreed","Enteropathy","Euthanasia",2015-10-12,2016-08-02
"122",3556473,"Female","Entire","Labrador Retriever","Enteropathy","Euthanasia",2016-04-01,2016-05-03
"124",7077762,"Male","Entire","British Bulldog","Lower respiratory tract disorder","Euthanasia",2016-01-09,2016-01-11
"125",11832681,"Female","Entire","Cavalier King Charles Spaniel","Disorder not diagnsosed","Euthanasia",2015-06-11,2016-06-01
"128",7126490,"Male","Entire","Husky","Disorder not diagnsosed","Euthanasia",2016-10-10,2016-10-12
"133",1603949,"Female","Entire","Yorkshire Terrier","Disorder not diagnsosed","Euthanasia",2015-08-11,2016-08-01
"144",11843718,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2016-03-03,2016-05-05
"153",3789940,"Male","Entire","Labrador Retriever","Enteropathy","Unassisted",2015-08-12,2016-11-02
"158",3529217,"Male","Entire","Cavachon","Bacterial infection","Unassisted",2015-03-12,2016-07-02
"161",12177051,"Female","Entire","Yorkshire Terrier","Enteropathy","Euthanasia",2016-06-03,2016-11-05
"167",6860167,"Male","Entire","Chihuahua","Collapsed","Euthanasia",2016-04-06,2016-11-08
"213",1629211,"Female","Entire","Pug","Upper respiratory tract disorder","Unassisted",2015-12-12,2016-08-03
"227",7119348,"Female","Entire","Long-Haired Chihuahua","Traumatic injury","Unassisted",2016-09-09,2016-11-12
"229",11842640,"Male","Entire","German Guard Dog","Disorder not diagnsosed","Euthanasia",2016-04-02,2016-07-05
"235",1521271,"Female","Entire","Cocker Spaniel","Spinal cord disorder","Euthanasia",2015-05-10,2016-08-01
"240",3497654,"Male","Entire","Boston Terrier","Upper respiratory tract disorder","Euthanasia",2015-02-11,2016-10-02
"262",1667014,"Male","Entire","Chinese Shar-Pei","Upper respiratory tract disorder","Euthanasia",2015-08-11,2016-08-03
"263",3556252,"Female","Entire","Pug","Enteropathy","Euthanasia",2015-01-11,2016-01-03
"264",3556253,"Male","Entire","Pug","Enteropathy","Euthanasia",2015-01-11,2016-01-03
"265",11833512,"Male","Entire","Crossbreed","Enteropathy","Euthanasia",2015-02-12,2016-01-04
"267",12073914,"Male","Entire","Shih-tzu","Liver disorder","Euthanasia",2015-03-09,2016-04-01
"272",3476093,"Female","Entire","Crossbreed","Traumatic injury","Unassisted",2015-06-10,2016-10-02
"280",3549798,"Female","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2015-01-12,2016-12-04
"296",6913234,"Male","Entire","Crossbreed","Traumatic injury","Euthanasia",2016-04-04,2016-04-09
"297",3433383,"Female","Entire","Chihuahua","Disorder not diagnsosed","Euthanasia",2015-07-08,2016-08-01
"298",1495979,"Male","Entire","Crossbreed","Disorder not diagnsosed","Unassisted",2015-04-08,2016-09-01
"299",3894575,"Female","Entire","Pomeranian","Anal sac disorder","Euthanasia",2016-04-03,2016-09-08
"315",3886703,"Female","Entire","American Bulldog","Skin disorder","Euthanasia",2015-12-11,2016-11-05
"318",3921272,"Female","Entire","Yorkshire Terrier","Pancreatic disorder","Euthanasia",2015-10-11,2016-10-05
"320",12005825,"Female","Neutered","Papillon","Disorder not diagnsosed","Euthanasia",2015-10-08,2016-11-02
"326",3433380,"Male","Entire","Crossbreed","Liver disorder","Euthanasia",2015-06-08,2016-10-02
"341",11951945,"Male","Entire","Staffordshire Bull Terrier","Brain disorder","Euthanasia",2016-05-09,2017-02-04
"342",11834197,"Female","Entire","Crossbreed","Haematopoietic disorder","Unassisted",2015-12-06,2016-08-01
"344",12178135,"Female","Entire","Alaskan Malamute","Traumatic injury","Unassisted",2016-06-06,2017-04-01
"347",7823712,"Male","Entire","Labrador Retriever","Traumatic injury","Unassisted",2016-10-05,2016-10-12
"352",11944167,"Male","Entire","Great Dane","Disorder not diagnsosed","Euthanasia",2016-07-03,2016-12-10
"358",12224064,"Female","Entire","Jackapoo","Spinal cord disorder","Euthanasia",2016-01-03,2016-12-10
"373",3964769,"Male","Entire","French Bulldog","Lethargy","Euthanasia",2016-12-05,2017-03-01
"374",3513036,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2015-08-10,2016-01-06
"375",12094482,"Male","Entire","Jack Russell Terrier","Traumatic injury","Euthanasia",2016-11-05,2017-07-01
"378",6754908,"Male","Entire","Crossbreed","Traumatic injury","Euthanasia",2015-11-11,2016-10-07
"380",3829768,"Female","Entire","Jack Russell Terrier","Brain disorder","Euthanasia",2015-05-08,2016-04-04
"383",1660770,"Male","Entire","Husky","Haematopoietic disorder","Euthanasia",2015-01-07,2016-01-03
"386",6801966,"Female","Entire","Cocker Spaniel","Traumatic injury","Euthanasia",2015-02-05,2016-02-01
