Entryx,Select=0,Select=1,Select=2,Select=3,Select=4,Select=5,Select=6,Select=7,Select=8,Select=9,Ultimate,Attainedx
16,0.012151,0.018994,0.014082,0.012065,0.04706,0.072175,0.076092,0.068259,0.070327,0.0601,0.047138,26
17,0.009336,0.014397,0.009586,0.010991,0.046968,0.061956,0.064836,0.058914,0.060321,0.049663,0.038233,27
18,0.006091,0.010576,0.007151,0.011074,0.044637,0.049647,0.053373,0.049032,0.048837,0.037076,0.030978,28
19,0.003622,0.008175,0.00568,0.010073,0.036436,0.038087,0.040477,0.039143,0.039245,0.028696,0.025747,29
20,0.003286,0.006613,0.005661,0.009786,0.029334,0.035754,0.034821,0.030852,0.030893,0.023135,0.020749,30
21,0.004107,0.008652,0.00588,0.008655,0.024684,0.031218,0.030029,0.027366,0.024088,0.020297,0.019288,31
22,0.003967,0.008981,0.005982,0.009084,0.023253,0.027577,0.02593,0.024857,0.021509,0.018943,0.018261,32
23,0.00445,0.008261,0.005713,0.008892,0.021137,0.026151,0.022522,0.023463,0.020496,0.018316,0.015574,33
24,0.004977,0.009996,0.006109,0.009512,0.020853,0.023967,0.023538,0.02248,0.020735,0.016672,0.01502,34
25,0.004795,0.011093,0.006215,0.008821,0.021375,0.021567,0.023406,0.021088,0.021835,0.017486,0.014365,35
26,0.005867,0.011005,0.006621,0.008638,0.020253,0.019434,0.020589,0.02062,0.021076,0.017726,0.012807,36
27,0.005389,0.012847,0.00671,0.007922,0.019437,0.019939,0.020581,0.019457,0.020721,0.017741,0.012715,37
28,0.005671,0.012369,0.008957,0.00821,0.018229,0.019086,0.019365,0.019637,0.018435,0.016056,0.012452,38
29,0.005663,0.012009,0.007272,0.00801,0.01584,0.018868,0.018456,0.018834,0.017904,0.01512,0.011556,39
30,0.005523,0.013407,0.007079,0.007784,0.01716,0.0167,0.018586,0.017193,0.016932,0.01554,0.011658,40
31,0.005353,0.013386,0.008116,0.006897,0.016059,0.015618,0.018851,0.017579,0.015474,0.015642,0.010487,41
32,0.005622,0.01327,0.007607,0.005312,0.015607,0.017008,0.017092,0.017196,0.013629,0.014123,0.00978,42
33,0.005967,0.012065,0.006657,0.006413,0.01581,0.015031,0.015686,0.01595,0.013464,0.013364,0.009508,43
34,0.005506,0.012863,0.007099,0.006712,0.014492,0.01495,0.015794,0.014502,0.012494,0.011939,0.008839,44
35,0.004843,0.012525,0.007737,0.006042,0.014235,0.014283,0.014719,0.013033,0.012975,0.011489,0.008276,45
36,0.005404,0.01177,0.006651,0.006316,0.012899,0.013169,0.014547,0.012034,0.01137,0.011252,0.007813,46
37,0.004923,0.012451,0.00719,0.005914,0.012783,0.013014,0.01175,0.011574,0.011237,0.010302,0.006882,47
38,0.004578,0.013027,0.006688,0.005956,0.012996,0.01312,0.011596,0.011916,0.010043,0.009837,0.006383,48
39,0.005224,0.013297,0.006387,0.004999,0.011359,0.012264,0.010664,0.010379,0.009911,0.008161,0.005768,49
40,0.005576,0.012111,0.00657,0.004726,0.011153,0.010641,0.00989,0.009589,0.008661,0.008472,0.005042,50
41,0.005318,0.012131,0.006714,0.004605,0.009686,0.009917,0.009551,0.008856,0.007817,0.007048,0.004507,51
42,0.005386,0.011696,0.005401,0.005138,0.009479,0.009049,0.008991,0.00792,0.00613,0.006529,0.004209,52
43,0.005511,0.011541,0.004955,0.004407,0.009405,0.00844,0.008261,0.00706,0.006259,0.005826,0.00406,53
44,0.004765,0.01011,0.004818,0.004384,0.007902,0.008045,0.007636,0.005942,0.005563,0.004543,0.003268,54
45,0.004676,0.010191,0.005008,0.003533,0.008087,0.007235,0.00645,0.006095,0.005131,0.004256,0.003103,55
46,0.004887,0.009935,0.004524,0.003009,0.007917,0.006956,0.006555,0.00567,0.00522,0.004135,0.002529,56
47,0.004553,0.009089,0.003907,0.003189,0.006353,0.006221,0.005976,0.004712,0.004342,0.003372,0.002317,57
48,0.003754,0.007903,0.003242,0.002786,0.006256,0.005411,0.005174,0.004199,0.002876,0.003177,0.002032,58
49,0.003359,0.006497,0.003077,0.002704,0.006039,0.00573,0.004619,0.003976,0.002949,0.002545,0.001746,59
50,0.002498,0.004333,0.001943,0.002413,0.005421,0.004638,0.003454,0.003354,0.00276,0.0021,0.001679,60
51,0.002694,0.004559,0.002001,0.001929,0.005647,0.003953,0.003297,0.002744,0.002756,0.001904,0.001349,61
52,0.002361,0.004579,0.00171,0.001478,0.004905,0.003903,0.002998,0.002797,0.002172,0.001575,0.001113,62
53,0.002197,0.003444,0.001499,0.001903,0.004731,0.003668,0.002577,0.002344,0.00209,0.001129,0.000861,63
54,0.001566,0.002745,0.000933,0.001373,0.004536,0.003,0.002556,0.001623,0.001487,0.001211,0.000624,64
55,0.001295,0.001925,0.000722,0.001394,0.004224,0.002693,0.002257,0.001601,0.001069,0.0008,0.00035,65
56,0.001175,0.001907,0.000647,0.001363,0.003846,0.002436,0.001528,0.001254,0.000702,0.000255,,66
57,0.001113,0.001953,0.000534,0.001301,0.00307,0.001785,0.001339,0.000915,0.000467,,,67
58,0.000973,0.00145,0.000568,0.001088,0.002766,0.001605,0.000991,0.000357,,,,68
59,0.000807,0.001129,0.000356,0.000716,0.002403,0.001014,0.000385,,,,,69
60,0.000843,0.000762,0.000096,0.00075,0.001757,0.000692,,,,,,70
61,0.000425,0.000412,0.000138,0.000715,0.001145,,,,,,,71
62,0.000141,0.000276,0.000143,0.000267,,,,,,,,72
63,0.000203,0.000255,0.000084,,,,,,,,,73
64,0.000222,0.000223,,,,,,,,,,74
65,0.000212,,,,,,,,,,,75
