Age,MaleQx,FemaleQx
0,0.00321,0.0024
1,0.00082,0.00072
2,0.00076,0.00067
3,0.00075,0.00065
4,0.00073,0.00064
5,0.00069,0.00063
6,0.00066,0.00061
7,0.00062,0.0006
8,0.00058,0.00058
9,0.00057,0.00057
10,0.00056,0.00056
11,0.00059,0.00057
12,0.00065,0.0006
13,0.00076,0.00062
14,0.00088,0.00066
15,0.00102,0.0007
16,0.00116,0.00075
17,0.00128,0.00079
18,0.00137,0.00081
19,0.00143,0.00085
20,0.00146,0.00087
21,0.00147,0.00089
22,0.00145,0.0009
23,0.00143,0.00092
24,0.00139,0.00096
25,0.00137,0.001
26,0.00136,0.00102
27,0.00135,0.00104
28,0.00136,0.00104
29,0.00137,0.00104
30,0.00137,0.00104
31,0.00139,0.00106
32,0.00142,0.00109
33,0.00147,0.00112
34,0.00155,0.00115
35,0.00164,0.0012
36,0.00175,0.00125
37,0.00188,0.00131
38,0.00201,0.00139
39,0.00214,0.00151
40,0.00227,0.00164
41,0.00242,0.0018
42,0.00259,0.00196
43,0.0028,0.00213
44,0.00305,0.00229
45,0.00338,0.00245
46,0.00379,0.00263
47,0.00429,0.00285
48,0.00485,0.00313
49,0.00546,0.00344
50,0.00609,0.00379
51,0.00672,0.00422
52,0.0073,0.00472
53,0.00784,0.00525
54,0.00841,0.00577
55,0.00908,0.00626
56,0.00993,0.00674
57,0.011,0.00725
58,0.01229,0.00786
59,0.01369,0.00864
60,0.01505,0.00964
61,0.01655,0.0108
62,0.01819,0.01188
63,0.01999,0.01307
64,0.02197,0.01439
65,0.02415,0.01584
66,0.02653,0.01744
67,0.02915,0.0192
68,0.03203,0.02114
69,0.03518,0.02328
70,0.03863,0.02564
71,0.04242,0.02823
72,0.04657,0.03109
73,0.05112,0.03423
74,0.05609,0.03768
75,0.06154,0.04149
76,0.06749,0.04566
77,0.074,0.05025
78,0.08111,0.0553
79,0.08887,0.06083
80,0.09733,0.0669
81,0.10655,0.07356
82,0.11658,0.08085
83,0.12749,0.08883
84,0.13934,0.09757
85,0.15219,0.10711
86,0.1661,0.11752
87,0.18115,0.12888
88,0.19739,0.14124
89,0.21489,0.15469
90,0.23371,0.16929
91,0.25389,0.18511
92,0.27548,0.20223
93,0.29851,0.2207
94,0.32301,0.2406
95,0.34897,0.26197
96,0.37639,0.28487
97,0.40523,0.30932
98,0.43542,0.33534
99,0.46687,0.36292
100,0.49945,0.39205
101,1,0.42265
102,1,0.45465
103,1,0.48791
104,1,1
