Entryx,Select=0,Select=1,Select=2,Select=3,Select=4,Select=5,Select=6,Select=7,Select=8,Select=9,Ultimate,Attainedx
16,0.009456,0.021605,0.022333,0.012668,0.076435,0.102141,0.11206,0.075165,0.056866,0.056944,0.040505,26
17,0.008263,0.016584,0.014498,0.012572,0.069437,0.087636,0.087495,0.06374,0.050628,0.048795,0.035679,27
18,0.006705,0.012183,0.008357,0.013495,0.058735,0.069197,0.062385,0.051173,0.043173,0.038157,0.030488,28
19,0.004731,0.008923,0.006305,0.013196,0.046345,0.052405,0.047538,0.040872,0.035954,0.030026,0.025868,29
20,0.003801,0.007313,0.00554,0.012486,0.037918,0.043175,0.03896,0.032915,0.029194,0.022511,0.020527,30
21,0.00431,0.007458,0.005672,0.011793,0.032966,0.036781,0.03304,0.029886,0.026121,0.019484,0.018244,31
22,0.005236,0.008845,0.00589,0.009636,0.02983,0.034482,0.031147,0.026683,0.022646,0.020102,0.016206,32
23,0.005429,0.009958,0.006181,0.008444,0.025983,0.029475,0.030816,0.026646,0.022049,0.02081,0.013696,33
24,0.006242,0.010656,0.00656,0.009645,0.027481,0.027089,0.027318,0.025628,0.022667,0.021184,0.013826,34
25,0.007648,0.011888,0.007529,0.010833,0.026606,0.028674,0.025358,0.026461,0.022247,0.020365,0.014102,35
26,0.006549,0.01334,0.007816,0.010271,0.02429,0.02492,0.023704,0.02337,0.021464,0.0184,0.012618,36
27,0.007563,0.013941,0.008334,0.00989,0.023088,0.02423,0.021713,0.023206,0.021162,0.017782,0.011951,37
28,0.007923,0.017593,0.00818,0.011126,0.02228,0.023187,0.020553,0.02305,0.020348,0.016104,0.011494,38
29,0.007177,0.017537,0.008419,0.011019,0.021686,0.021771,0.02135,0.02174,0.020618,0.015613,0.010513,39
30,0.006881,0.016619,0.008681,0.008522,0.019225,0.019875,0.021596,0.020181,0.018277,0.014402,0.010029,40
31,0.007607,0.016116,0.008922,0.009687,0.018238,0.019678,0.020464,0.017132,0.017577,0.014517,0.00935,41
32,0.008217,0.016769,0.008475,0.008901,0.018296,0.018955,0.018508,0.015846,0.015679,0.014042,0.008419,42
33,0.010175,0.016707,0.008764,0.008232,0.016907,0.017822,0.01777,0.016243,0.013144,0.013104,0.007899,43
34,0.008517,0.017416,0.009862,0.007608,0.016561,0.017356,0.016323,0.016099,0.01364,0.012451,0.007247,44
35,0.007884,0.016586,0.008312,0.007737,0.016155,0.015863,0.015143,0.013863,0.013872,0.011641,0.00673,45
36,0.008026,0.016401,0.008036,0.007249,0.015754,0.015292,0.014062,0.013122,0.012343,0.011092,0.006526,46
37,0.007339,0.016354,0.008012,0.007165,0.015247,0.014776,0.012776,0.011393,0.0112,0.010574,0.005774,47
38,0.007686,0.016104,0.007326,0.006855,0.01442,0.013029,0.011315,0.011411,0.009584,0.009782,0.005238,48
39,0.007349,0.015713,0.00816,0.006051,0.01293,0.01167,0.010576,0.01015,0.009558,0.008197,0.004609,49
40,0.007042,0.015555,0.007579,0.00643,0.012572,0.010279,0.010605,0.009323,0.008432,0.007241,0.004304,50
41,0.007536,0.014152,0.006676,0.005805,0.01106,0.010238,0.009594,0.007908,0.007193,0.006778,0.003542,51
42,0.007539,0.014294,0.006834,0.005244,0.009924,0.008887,0.008947,0.007788,0.006399,0.005488,0.00313,52
43,0.006562,0.013072,0.006888,0.005228,0.010195,0.008444,0.008067,0.007083,0.006281,0.00472,0.002923,53
44,0.005981,0.013286,0.006166,0.004718,0.008574,0.007644,0.006566,0.006511,0.00553,0.004209,0.002431,54
45,0.006913,0.013215,0.00559,0.00452,0.008333,0.007382,0.005687,0.005306,0.004614,0.004324,0.002204,55
46,0.005567,0.012563,0.005043,0.003791,0.008134,0.006241,0.005638,0.005007,0.003667,0.003079,0.001895,56
47,0.00553,0.010929,0.00448,0.00343,0.00782,0.006044,0.005261,0.004194,0.00339,0.003134,0.001686,57
48,0.004992,0.009404,0.003368,0.003374,0.007756,0.005509,0.004436,0.003495,0.003566,0.002933,0.001412,58
49,0.00366,0.007768,0.002872,0.003526,0.006725,0.005145,0.00378,0.003338,0.002989,0.002256,0.001289,59
50,0.00269,0.004822,0.002118,0.002293,0.00539,0.004373,0.003866,0.002666,0.00234,0.001841,0.00124,60
51,0.002777,0.005525,0.002034,0.00243,0.00511,0.00445,0.003038,0.002363,0.00188,0.001613,0.001201,61
52,0.002736,0.004583,0.001748,0.002279,0.004762,0.003542,0.002509,0.002131,0.001627,0.001509,0.000976,62
53,0.002496,0.003369,0.001493,0.002054,0.004913,0.003136,0.002259,0.001873,0.001568,0.001479,0.000851,63
54,0.001644,0.002427,0.000884,0.001532,0.005041,0.002826,0.002081,0.001705,0.001378,0.001306,0.000539,64
55,0.001025,0.001787,0.000718,0.001556,0.003938,0.002339,0.00196,0.001676,0.001235,0.000766,0.000322,65
56,0.000969,0.001669,0.000702,0.001465,0.003623,0.00228,0.001843,0.001388,0.000759,0.000529,,66
57,0.001009,0.001333,0.00049,0.001203,0.003138,0.001815,0.001405,0.001153,0.000563,,,67
58,0.000811,0.001152,0.000453,0.001058,0.002529,0.001644,0.0012,0.000873,,,,68
59,0.000677,0.000981,0.000295,0.000878,0.002568,0.001487,0.000797,,,,,69
60,0.000623,0.000626,0.00011,0.000793,0.00162,0.001171,,,,,,70
61,0.000475,0.000229,0.000088,0.000624,0.001386,,,,,,,71
62,0.00026,0.000164,0.00007,0.000265,,,,,,,,72
63,0.00025,0.000241,0.000109,,,,,,,,,73
64,0.000259,0.000297,,,,,,,,,,
