Entryx,Select=0,Select=1,Select=2,Select=3,Select=4,Select=5,Select=6,Select=7,Select=8,Select=9,Ultimate,Attainedx
16,0.013461,0.028723,0.027576,0.018476,0.080463,0.104575,0.121258,0.082287,0.062582,0.063157,0.048641,26
17,0.013996,0.024853,0.020698,0.019304,0.074251,0.092377,0.094508,0.070856,0.057023,0.054308,0.042584,27
18,0.014013,0.021066,0.015289,0.02065,0.064944,0.076273,0.067078,0.057816,0.049906,0.043654,0.03684,28
19,0.014643,0.0173,0.013588,0.020882,0.05255,0.058905,0.052107,0.04633,0.043202,0.035403,0.031748,29
20,0.01395,0.015959,0.012445,0.020439,0.044388,0.049337,0.043401,0.039036,0.036866,0.027852,0.026635,30
21,0.015413,0.017723,0.012968,0.019413,0.03974,0.042436,0.038055,0.034853,0.032261,0.026358,0.025256,31
22,0.01733,0.020073,0.015077,0.017663,0.037219,0.04089,0.03796,0.032264,0.029151,0.026767,0.024122,32
23,0.019265,0.021137,0.015628,0.016087,0.032594,0.036593,0.038139,0.032259,0.029055,0.027037,0.021812,33
24,0.021403,0.022582,0.016386,0.017942,0.036582,0.036316,0.035181,0.033282,0.030318,0.028963,0.02315,34
25,0.025788,0.026561,0.018642,0.021456,0.037775,0.037091,0.0343,0.03481,0.030545,0.028829,0.023193,35
26,0.025113,0.029835,0.021334,0.021844,0.034879,0.033197,0.033447,0.033569,0.031341,0.028636,0.021993,36
27,0.027676,0.031329,0.021705,0.023042,0.034248,0.032905,0.033023,0.034041,0.03162,0.028656,0.022316,37
28,0.028647,0.035748,0.021638,0.02539,0.034197,0.033818,0.031931,0.034403,0.030962,0.027203,0.022497,38
29,0.028635,0.034471,0.022318,0.023986,0.033771,0.035033,0.032755,0.033426,0.033497,0.02808,0.021852,39
30,0.030081,0.033734,0.024437,0.023236,0.030909,0.032811,0.033656,0.032414,0.03057,0.027487,0.021556,40
31,0.032178,0.03385,0.024575,0.025668,0.031038,0.032672,0.033657,0.030845,0.03115,0.028733,0.022704,41
32,0.032732,0.03463,0.025597,0.023864,0.032103,0.033175,0.032375,0.029515,0.029146,0.028585,0.022313,42
33,0.035647,0.035984,0.024391,0.023379,0.031064,0.032289,0.032108,0.03038,0.026992,0.02843,0.022352,43
34,0.03506,0.038612,0.026247,0.023915,0.032066,0.032767,0.030745,0.031157,0.029125,0.028361,0.022649,44
35,0.036191,0.037227,0.025223,0.023752,0.031299,0.031806,0.030461,0.02933,0.031191,0.028931,0.02246,45
36,0.037579,0.038219,0.023619,0.024991,0.031418,0.031084,0.030629,0.029458,0.029207,0.029187,0.023149,46
37,0.038724,0.041091,0.026088,0.02444,0.031555,0.031756,0.030686,0.029014,0.028496,0.030102,0.023028,47
38,0.038856,0.040806,0.027989,0.025425,0.031129,0.030156,0.028306,0.029204,0.027864,0.030126,0.023682,48
39,0.039109,0.039379,0.02909,0.025727,0.030723,0.028641,0.028761,0.029914,0.029357,0.028561,0.023939,49
40,0.041038,0.041441,0.029194,0.027258,0.030848,0.030023,0.029626,0.030238,0.027778,0.027608,0.025403,50
41,0.04499,0.041628,0.02829,0.025732,0.032109,0.030471,0.030934,0.028858,0.028667,0.029575,0.025667,51
42,0.049793,0.043322,0.030912,0.02691,0.031578,0.029998,0.029698,0.030379,0.030507,0.029697,0.026076,52
43,0.049815,0.043098,0.031997,0.029076,0.032059,0.031769,0.03048,0.030896,0.030369,0.030359,0.027588,53
44,0.053791,0.04384,0.031829,0.028753,0.032799,0.031482,0.031773,0.031924,0.031775,0.032958,0.028462,54
45,0.054994,0.045128,0.033966,0.030097,0.03359,0.033733,0.032416,0.031969,0.031387,0.032972,0.029425,55
46,0.057908,0.046337,0.033987,0.030713,0.034974,0.032872,0.032235,0.032919,0.03298,0.033432,0.030846,56
47,0.063709,0.048498,0.034489,0.032432,0.035919,0.034118,0.032882,0.033256,0.033981,0.035135,0.03187,57
48,0.068094,0.049285,0.036183,0.034365,0.03722,0.034901,0.033726,0.033269,0.033889,0.03532,0.032999,58
49,0.067703,0.050974,0.035991,0.034773,0.03579,0.035363,0.034031,0.035303,0.034641,0.03491,0.03493,59
50,0.050423,0.039064,0.032112,0.03171,0.034172,0.032746,0.033661,0.033914,0.032846,0.035485,0.035558,60
51,0.063164,0.046497,0.035416,0.032632,0.035421,0.034803,0.034776,0.034706,0.03502,0.038387,0.037645,61
52,0.067342,0.047002,0.036689,0.034887,0.035745,0.035698,0.034844,0.035659,0.036273,0.037546,0.039339,62
53,0.070383,0.048988,0.039465,0.036291,0.037715,0.035863,0.034131,0.036249,0.039205,0.04024,0.041885,63
54,0.071199,0.049134,0.036453,0.036123,0.037787,0.036216,0.036905,0.038827,0.03966,0.042691,0.042725,64
55,0.055011,0.040804,0.032821,0.03226,0.034884,0.033877,0.035774,0.037303,0.038279,0.041412,0.042298,65
56,0.063514,0.044364,0.034908,0.03499,0.035901,0.036149,0.037033,0.040513,0.039891,0.041832,0.047624,66
